scenario,request_id,timestamp_sec,latency_ms
concurrent_login,0,0.260,2890.283
concurrent_login,1,0.520,2856.252
concurrent_login,2,0.788,2989.713
concurrent_login,3,1.575,2425.928
concurrent_login,4,1.051,3175.640
concurrent_login,5,1.840,2612.713
concurrent_login,6,2.602,2070.306
concurrent_login,7,1.316,3583.858
concurrent_login,8,2.340,2789.383
concurrent_login,9,2.087,3273.439
concurrent_login,10,3.261,2440.324
concurrent_login,11,3.482,2441.904
concurrent_login,12,3.880,2269.770
concurrent_login,13,4.116,2254.624
concurrent_login,14,4.335,3742.580
concurrent_login,15,4.778,3521.654
concurrent_login,16,4.556,3964.289
concurrent_login,17,5.016,3728.223
concurrent_login,18,5.238,3726.992
concurrent_login,19,18.303,381.066
concurrent_login,20,18.794,1136.784
concurrent_login,21,18.523,1629.239
concurrent_login,22,18.762,1613.550
concurrent_login,23,18.969,1626.513
concurrent_login,24,19.191,1632.373
concurrent_login,25,20.044,1107.069
concurrent_login,26,20.266,1110.997
concurrent_login,27,20.487,1115.962
concurrent_login,28,20.706,1122.106
concurrent_login,29,20.927,1278.547
concurrent_login,30,21.938,1915.650
concurrent_login,31,22.317,1775.059
concurrent_login,32,23.960,452.503
concurrent_login,33,24.195,486.450
